epoch,step,test_AUC,test_accuracy,test_f1,test_loss,test_ppv,test_sensitivity,test_specificity,train_AUC,train_accuracy,train_f1,train_loss,train_ppv,train_sensitivity,train_specificity,valid_AUC,valid_accuracy,valid_f1,valid_loss,valid_ppv,valid_sensitivity,valid_specificity
0,24,,,,,,,,,,,,,,,0.6012270450592041,0.8249362111091614,0.3263803720474243,0.3715103268623352,0.39002931118011475,0.2805907130241394,0.9218632578849792
0,24,,,,,,,,0.7306892275810242,0.7306249737739563,0.726696252822876,0.6015100479125977,0.7403100728988647,0.7135741114616394,0.7478042840957642,,,,,,,
1,49,,,,,,,,,,,,,,,0.7042284607887268,0.8364158272743225,0.4875124990940094,0.36637017130851746,0.46299809217453003,0.5147679448127747,0.893688976764679
1,49,,,,,,,,0.8475232124328613,0.8475000262260437,0.8447837233543396,0.33491775393486023,0.8612191677093506,0.8289638161659241,0.8660826086997986,,,,,,,
2,74,,,,,,,,,,,,,,,0.5,0.8488520383834839,0.0,0.5392751097679138,0.0,0.0,1.0
2,74,,,,,,,,0.8868727684020996,0.8868749737739563,0.8872274160385132,0.261604368686676,0.8866749405860901,0.8877805471420288,0.8859649300575256,,,,,,,
3,99,,,,,,,,,,,,,,,0.8131294846534729,0.8019770383834839,0.558635413646698,0.4537736177444458,0.42122185230255127,0.8291139006614685,0.7971450090408325
3,99,,,,,,,,0.8789003491401672,0.8787500262260437,0.8779874444007874,0.2705268859863281,0.8925831317901611,0.8638613820075989,0.8939393758773804,,,,,,,
4,124,,,,,,,,,,,,,,,0.6091007590293884,0.8456632494926453,0.34594595432281494,0.3707581162452698,0.48120301961898804,0.27004218101501465,0.9481592774391174
4,124,,,,,,,,0.8873029351234436,0.887499988079071,0.8843187689781189,0.25784066319465637,0.8993464112281799,0.8697850704193115,0.9048207402229309,,,,,,,
5,149,,,,,,,,,,,,,,,0.6676961183547974,0.8568239808082581,0.45575758814811707,0.3620011508464813,0.5356125235557556,0.39662447571754456,0.9387678503990173
5,149,,,,,,,,0.905579149723053,0.9056249856948853,0.9041270017623901,0.21069873869419098,0.9151670932769775,0.8933500647544861,0.9178082346916199,,,,,,,
6,174,,,,,,,,,,,,,,,0.5676413178443909,0.8606505393981934,0.24263431131839752,0.3700050711631775,0.6796116232872009,0.14767932891845703,0.9876033067703247
6,174,,,,,,,,0.9311933517456055,0.9312499761581421,0.9294871687889099,0.18247933685779572,0.9514435529708862,0.908521294593811,0.9538653492927551,,,,,,,
7,199,,,,,,,,,,,,,,,0.63941490650177,0.8794642686843872,0.42553192377090454,0.31739023327827454,0.760869562625885,0.29535865783691406,0.9834710955619812
7,199,,,,,,,,0.9205137491226196,0.9206249713897705,0.918432891368866,0.1913323551416397,0.9395532011985779,0.8982412219047546,0.9427860975265503,,,,,,,
8,224,,,,,,,,,,,,,,,0.7425224781036377,0.6556122303009033,0.4321766495704651,1.4535646438598633,0.287815123796463,0.8670886158943176,0.6179563999176025
8,224,,,,,,,,0.9330577254295349,0.9331250190734863,0.9318904876708984,0.17586548626422882,0.944516122341156,0.9195979833602905,0.9465174078941345,,,,,,,
9,249,,,,,,,,,,,,,,,0.5778142213821411,0.8632015585899353,0.2716468572616577,0.4691856801509857,0.695652186870575,0.16877637803554535,0.9868519902229309
9,249,,,,,,,,0.9211142659187317,0.9212499856948853,0.9192307591438293,0.17544607818126678,0.9360313415527344,0.9030226469039917,0.9392059445381165,,,,,,,
10,274,,,,,,,,,,,,,,,0.6650649905204773,0.871492326259613,0.4648074507713318,0.32926180958747864,0.6272401213645935,0.3691983222961426,0.960931658744812
10,274,,,,,,,,0.9299100041389465,0.9300000071525574,0.9280205368995667,0.1907721906900406,0.9512516260147095,0.9058971405029297,0.9539228081703186,,,,,,,
11,299,,,,,,,,,,,,,,,0.7223471403121948,0.8612882494926453,0.532760500907898,0.3701217770576477,0.5426695942878723,0.5232067704200745,0.9214876294136047
11,299,,,,,,,,0.9456687569618225,0.9456250071525574,0.9451795816421509,0.14626163244247437,0.956632673740387,0.9339975118637085,0.9573400020599365,,,,,,,
12,324,,,,,,,,,,,,,,,0.62486332654953,0.8797831535339355,0.3948635756969452,0.3125499188899994,0.8255033493041992,0.2594936788082123,0.9902328848838806
12,324,,,,,,,,0.9213331937789917,0.9212499856948853,0.9197452068328857,0.1903524249792099,0.941329836845398,0.899128258228302,0.943538248538971,,,,,,,
13,349,,,,,,,,,,,,,,,0.6330152153968811,0.8568239808082581,0.39731544256210327,0.3772256672382355,0.5461254715919495,0.3122362792491913,0.9537941217422485
13,349,,,,,,,,0.9381537437438965,0.9381250143051147,0.9367412328720093,0.16189628839492798,0.9594240784645081,0.9151061177253723,0.9612014889717102,,,,,,,
14,374,,,,,,,,,,,,,,,0.7160164713859558,0.878507673740387,0.5458879470825195,0.2838382422924042,0.6273972392082214,0.4831223487854004,0.9489105939865112
14,374,,,,,,,,0.9375233054161072,0.9375,0.93638676404953,0.16625401377677917,0.9546043872833252,0.9188514351844788,0.9561952352523804,,,,,,,
15,399,,,,,,,,,,,,,,,0.6764369010925293,0.8775510191917419,0.4893617033958435,0.380061537027359,0.6618704795837402,0.38818565011024475,0.9646881818771362
15,399,,,,,,,,0.9199999570846558,0.9200000166893005,0.9185750484466553,0.18983063101768494,0.9352331757545471,0.9024999737739563,0.9375,,,,,,,
16,424,,,,,,,,,,,,,,,0.7684999704360962,0.7085459232330322,0.46983757615089417,0.5908743143081665,0.3240000009536743,0.8544303774833679,0.6825695037841797
16,424,,,,,,,,0.8965506553649902,0.8962500095367432,0.8916448950767517,0.25742191076278687,0.9394773244857788,0.8484472036361694,0.944654107093811,,,,,,,
17,449,,,,,,,,,,,,,,,0.7050938606262207,0.8555484414100647,0.5059978365898132,0.3933957815170288,0.5237020254135132,0.48945146799087524,0.9207363128662109
17,449,,,,,,,,0.888664960861206,0.8887500166893005,0.8845654726028442,0.2569335997104645,0.9166666865348816,0.8546366095542908,0.9226932525634766,,,,,,,
18,474,,,,,,,,,,,,,,,0.7555540800094604,0.8632015585899353,0.5705705881118774,0.32755979895591736,0.5428571701049805,0.6012658476829529,0.9098422527313232
18,474,,,,,,,,0.9093322157859802,0.909375011920929,0.9075844287872314,0.2175896167755127,0.923475980758667,0.8922305703163147,0.9264339208602905,,,,,,,
19,499,,,,,,,,,,,,,,,0.6844881772994995,0.8485331535339355,0.47280800342559814,0.3553938567638397,0.49882903695106506,0.44936707615852356,0.9196093082427979
19,499,,,,,,,,0.931826114654541,0.9318749904632568,0.9303514361381531,0.17024749517440796,0.9491525292396545,0.9122806787490845,0.9513715505599976,,,,,,,
20,524,,,,,,,,,,,,,,,0.6338521242141724,0.871492326259613,0.4082232117652893,0.3845372796058655,0.6714975833892822,0.2932489514350891,0.9744552969932556
20,524,,,,,,,,0.920129656791687,0.9200000166893005,0.9187816977500916,0.18681149184703827,0.9390401840209961,0.8993788957595825,0.9408804774284363,,,,,,,
21,549,,,,,,,,,,,,,,,0.7117115259170532,0.8638392686843872,0.5229050517082214,0.3326449692249298,0.5558194518089294,0.49367088079452515,0.9297520518302917
21,549,,,,,,,,0.9212499856948853,0.9212499856948853,0.9189189076423645,0.18454959988594055,0.9469496011734009,0.8924999833106995,0.949999988079071,,,,,,,
22,574,,,,,,,,,,,,,,,0.6495441794395447,0.8848851919174194,0.4505327343940735,0.3053818643093109,0.8087431788444519,0.3122362792491913,0.9868519902229309
22,574,,,,,,,,0.9317668676376343,0.9318749904632568,0.9302623271942139,0.1607189029455185,0.9466145634651184,0.9144654273986816,0.9490683078765869,,,,,,,
23,599,,,,,,,,,,,,,,,0.6765526533126831,0.8762755393981934,0.48812663555145264,0.2853825092315674,0.6514084339141846,0.3902953565120697,0.9628099203109741
23,599,,,,,,,,0.9418990612030029,0.9418749809265137,0.9408020377159119,0.14946407079696655,0.9597402811050415,0.9225967526435852,0.9612014889717102,,,,,,,
24,624,,,,,,,,,,,,,,,0.5212127566337585,0.8539540767669678,0.08399999886751175,0.4706738293170929,0.807692289352417,0.04430379718542099,0.9981217384338379
24,624,,,,,,,,0.9362608194351196,0.9362499713897705,0.9357682466506958,0.15638074278831482,0.9440914988517761,0.9275904893875122,0.944931149482727,,,,,,,
25,649,,,,,,,,,,,,,,,0.6840222477912903,0.8919005393981934,0.5191489458084106,0.2866159677505493,0.7922077775001526,0.3860759437084198,0.9819684624671936
25,649,,,,,,,,0.9374999403953552,0.9375,0.9360613822937012,0.15988236665725708,0.9581151604652405,0.9150000214576721,0.9599999785423279,,,,,,,
26,674,,,,,,,,,,,,,,,0.6345598697662354,0.8756377696990967,0.41265061497688293,0.33197107911109924,0.7210526466369629,0.2890295386314392,0.9800901412963867
26,674,,,,,,,,0.9356585144996643,0.9356250166893005,0.9339320063591003,0.16903480887413025,0.960422158241272,0.90886390209198,0.9624530673027039,,,,,,,
27,699,,,,,,,,,,,,,,,0.5458500385284424,0.8619260191917419,0.16890594363212585,0.349233478307724,0.936170220375061,0.09282700717449188,0.9988730549812317
27,699,,,,,,,,0.9342044591903687,0.934374988079071,0.9321267008781433,0.17007188498973846,0.958776593208313,0.9069182276725769,0.9614906907081604,,,,,,,
28,724,,,,,,,,,,,,,,,0.6725226044654846,0.8561862111091614,0.46245530247688293,0.3261329233646393,0.5315068364143372,0.40928271412849426,0.9357625842094421
28,724,,,,,,,,0.9366698265075684,0.9368749856948853,0.9346278309822083,0.17471422255039215,0.9613848328590393,0.9093198776245117,0.9640198349952698,,,,,,,
29,749,,,,,,,,,,,,,,,0.8115245699882507,0.8125,0.5663716793060303,0.48559626936912537,0.4353741407394409,0.8101266026496887,0.8129225969314575
29,749,,,,,,,,0.9174103736877441,0.9175000190734863,0.9156010150909424,0.18023329973220825,0.9322916865348816,0.8994975090026855,0.9353233575820923,,,,,,,
30,774,,,,,,,,,,,,,,,0.7039216756820679,0.8756377696990967,0.5266990065574646,0.32700249552726746,0.6200000047683716,0.45780590176582336,0.9500375390052795
30,774,,,,,,,,0.9438337087631226,0.9437500238418579,0.9433249235153198,0.1390605866909027,0.9565772414207458,0.9304347634315491,0.9572327136993408,,,,,,,
31,799,,,,,,,,,,,,,,,0.652653157711029,0.8577806353569031,0.4325699806213379,0.37840715050697327,0.5448718070983887,0.3586497902870178,0.9466566443443298
31,799,,,,,,,,0.9388297200202942,0.9387500286102295,0.9380530714988708,0.16663527488708496,0.9537274837493896,0.9228855967521667,0.9547738432884216,,,,,,,
32,824,,,,,,,,,,,,,,,0.5556907653808594,0.8609693646430969,0.20437955856323242,0.44335559010505676,0.7567567825317383,0.1181434616446495,0.9932381510734558
32,824,,,,,,,,0.9310210347175598,0.9312499761581421,0.9285714030265808,0.1717812418937683,0.9584450125694275,0.9005037546157837,0.9615384340286255,,,,,,,
33,849,,,,,,,,,,,,,,,0.6017302870750427,0.8552296161651611,0.3323529362678528,0.40679675340652466,0.5485436916351318,0.23839662969112396,0.9650638699531555
33,849,,,,,,,,0.9319069385528564,0.9318749904632568,0.9301729798316956,0.1728426069021225,0.9552631378173828,0.9063670635223389,0.957446813583374,,,,,,,
34,874,,,,,,,,,,,,,,,0.7389917969703674,0.8880739808082581,0.5865724086761475,0.30500736832618713,0.6639999747276306,0.5253164768218994,0.9526671767234802
34,874,,,,,,,,0.936852216720581,0.9368749856948853,0.935627818107605,0.16126103699207306,0.9532467722892761,0.9186483025550842,0.9550561904907227,,,,,,,
35,875,0.8486062288284302,0.9306066036224365,0.7462185025215149,0.2095237523317337,0.7576791644096375,0.7350993156433105,0.9621131420135498,,,,,,,,,,,,,,
